Time [s],Velocity [km/h],Acceleration [m/s^2],Battery_Voltage [V]
415,38.54738,0.87913,379.56056
415.1,38.94154,0.96947,378.85035
415.2,39.21584,1.02433,378.35035
415.3,39.62556,0.98947,377.92516
415.4,39.92305,1.11553,377.67513
415.5,40.37213,1.19033,377.42511
415.6,40.68057,1.16368,377.17513
415.7,41.08623,1.15118,376.98503
415.8,41.44627,1.01339,376.93503
415.9,41.84031,1.13033,376.88502
416,42.15346,1.02648,376.83502
416.1,42.54007,0.94361,376.78501
416.2,42.94618,1.00806,376.73501
416.3,43.28192,1.00584,376.7
416.4,43.66103,1.02212,376.7
416.5,43.92731,1.02953,376.7
416.6,44.33291,1.09617,376.7
416.7,44.69564,1.054,376.715
416.8,45.02851,0.98868,376.765
416.9,45.35602,0.8814,376.83
417,45.68006,0.97021,376.93001
417.1,46.02046,0.86717,377.33013
417.2,46.26637,0.71436,378.43018
417.3,46.48515,0.57448,379.59026
417.4,46.59785,0.41649,380.89026
417.5,46.71875,0.24694,382.04017
417.6,46.78535,0.13038,382.84021
417.7,46.80097,0.04173,383.50511
417.8,46.87911,0.098,383.85513
417.9,46.875,0.07426,384.1751
418,46.83554,-0.0237,384.4251
418.1,46.83224,-0.09826,384.66008
418.2,46.76151,-0.05391,384.86009
418.3,46.76973,-0.06419,385.04508
418.4,46.72698,-0.022,385.19509
418.5,46.70313,-0.09327,385.36014
418.6,46.68338,-0.21432,385.56015
418.7,46.58874,-0.07824,385.79024
418.8,46.53951,-0.12275,386.09024
418.9,46.41775,-0.39565,386.48049
419,46.30011,-0.44423,387.08052
419.1,46.125,-0.38378,387.57523
419.2,45.97933,-0.4221,387.82524
419.3,45.77297,-0.39189,388.04515
419.4,45.5625,-0.42,388.19516
419.5,45.42188,-0.39621,388.3
419.6,45.23341,-0.32866,388.3
419.7,45.05004,-0.40848,388.31506
419.8,44.84693,-0.61822,388.36506
419.9,44.61669,-0.46051,388.29457
420,44.44064,-0.30865,387.94456
420.1,44.28541,-0.2701,387.53429
420.2,44.21773,-0.22408,386.98429
420.3,44.10105,-0.182,386.56987
420.4,43.95313,-0.14616,386.46986
420.5,43.95729,-0.05009,386.32465
420.6,43.90937,-0.03395,386.07463
420.7,43.84375,-0.06796,385.8397
420.8,43.76563,-0.05212,385.6397
420.9,43.76563,0.01204,385.4397
421,43.65734,-0.00798,385.23969
421.1,43.67188,0.05547,385.06984
421.2,43.64063,0.17821,384.96983
421.3,43.67188,0.04992,384.86983
421.4,43.66043,0.07202,384.76982
421.5,43.67912,0.07588,384.63964
421.6,43.69169,0.13595,384.43963
421.7,43.69893,0.17204,384.26981
421.8,43.75839,0.158,384.16981
421.9,43.82089,0.14011,384.03962
422,43.91768,0.15725,383.83963
422.1,43.97597,0.25485,383.65473
422.2,44.05829,0.14004,383.50471
422.3,44.12921,0.15111,383.3849
422.4,44.21454,0.25264,383.3349
422.5,44.35217,0.17412,383.3
422.6,44.39906,0.14196,383.3
422.7,44.52408,0.23323,383.3
422.8,44.625,0.35195,383.3
422.9,44.68327,0.38226,383.28489
423,44.77831,0.24462,383.23489
423.1,44.90203,0.20009,383.2
423.2,44.95443,0.19936,383.2
423.3,45.0241,0.2249,383.15464
423.4,45.1875,0.12933,383.00465
423.5,45.2116,0.33184,382.85465
423.6,45.36072,0.422,382.70463
423.7,45.49284,0.41807,382.55461
423.8,45.57947,0.388,382.40461
423.9,45.74575,0.42796,382.25461
424,45.78684,0.402,382.1046
424.1,45.99713,0.31188,381.93946
424.2,46.14631,0.39,381.73945
424.3,46.2855,0.39394,381.6
424.4,46.46165,0.41199,381.6
424.5,46.61647,0.34403,381.6
424.6,46.76988,0.35803,381.6
424.7,46.88636,0.38478,381.61515
424.8,46.97724,0.218,381.66515
424.9,47.09944,0.23536,381.74546
425,47.26563,0.28801,381.89543
425.1,47.40198,0.29805,382.03028
425.2,47.48865,0.24458,382.1303
425.3,47.55971,0.24136,382.23032
425.4,47.68471,0.30201,382.33032
425.5,47.88782,0.26268,382.4
425.6,48.00428,0.17948,382.4
425.7,48.11794,0.24064,382.47583
425.8,48.189,0.15199,382.72584
425.9,48.27419,0.15598,382.97585
426,48.27851,0.14387,383.22585
426.1,48.2742,0.08934,383.47586
426.2,48.17188,0.20246,383.72588
426.3,48.14923,-0.01195,383.9759
426.4,48.26291,-0.11971,384.2259
426.5,48.2457,0.124,384.44554
426.6,48.20744,0.138,384.59553
426.7,48.14493,0.05403,384.76071
426.8,48.09644,-0.05772,384.96073
426.9,48.125,0.126,385.14556
427,48.17887,0.01377,385.29556
427.1,48.03926,-0.218,385.46074
427.2,47.9827,-0.31344,385.66075
427.3,47.80984,-0.30458,385.84557
427.4,47.83942,-0.18585,385.99558
427.5,47.80817,-0.15004,386.23676
427.6,47.70841,-0.23188,386.68678
427.7,47.59204,-0.16801,386.9848
427.8,47.45574,-0.19406,386.9348
427.9,47.3507,-0.24002,386.9456
428,47.14497,-0.25186,387.0956
428.1,47.04342,-0.21204,387.1848
428.2,46.91837,-0.29406,387.1348
428.3,46.72743,-0.31,387.08479
428.4,46.69442,-0.28801,387.03479
428.5,46.58248,-0.29599,386.96958
428.6,46.44185,-0.29407,386.86957
428.7,46.33503,-0.28592,386.78478
428.8,46.20748,-0.2201,386.73478
428.9,46.12575,-0.21389,386.7
429,45.99309,-0.16236,386.7
429.1,45.92878,-0.2659,386.68478
429.2,45.86626,-0.16389,386.63478
429.3,45.74127,-0.12802,386.56955
429.4,45.69002,-0.11785,386.46954
429.5,45.52,-0.04394,386.4
429.6,45.45123,0.03423,386.4
429.7,45.4194,0.11198,386.43047
429.8,45.39997,0.02551,386.53048
429.9,45.23491,-0.12393,386.58476
430,45.05373,-0.1364,386.53476
430.1,45.05618,-0.20779,386.5
430.2,44.97753,-0.08804,386.5
430.3,44.86622,-0.12008,386.4695
430.4,44.81689,-0.16805,386.3695
430.5,44.77488,-0.15186,386.19324
430.6,44.70555,-0.05781,385.84323
430.7,44.62258,-0.00803,385.6
430.8,44.66066,-0.00385,385.6
430.9,44.58694,0.038,385.55423
431,44.57813,0.0259,385.40423
431.1,44.53566,0.0161,385.23895
431.2,44.52923,0.03379,385.03893
431.3,44.52446,0.02628,384.80838
431.4,44.5,0.12589,384.50838
431.5,44.59817,0.15171,384.17783
431.6,44.6427,0.23422,383.77781
431.7,44.71432,0.19172,383.33197
431.8,44.78125,0.34629,382.78194
431.9,44.87943,0.40996,382.26247
432,45.06906,0.41418,381.81245
432.1,45.16955,0.44392,381.37772
432.2,45.38387,0.45237,380.97772
432.3,45.55347,0.54204,380.60828
432.4,45.73207,0.54994,380.30825
432.5,45.90395,0.56622,380.03882
432.6,46.12056,0.66025,379.83882
432.7,46.34591,0.66764,379.63882
432.8,46.51108,0.53174,379.43881
432.9,46.76781,0.53644,379.2541
433,47.01779,0.70025,379.1041
433.1,47.23662,0.69553,379.0153
433.2,47.39955,0.6282,379.0653
433.3,47.56915,0.84843,379.31427
433.4,47.84821,0.49638,380.01427
433.5,47.96429,-0.29267,380.63775
433.6,47.97543,0.38565,381.08777
433.7,48.19643,0.29785,381.5378
433.8,48.3125,0.256,381.98785
433.9,48.34151,0.21423,382.42256
434,48.3549,0.15991,382.82256
434.1,48.35271,0.20816,383.1766
434.2,48.44644,0.11015,383.4266
434.3,48.39959,0.11378,383.61532
434.4,48.43967,0.05192,383.66532
434.5,48.4174,0.03194,383.77663
434.6,48.39959,-0.02454,384.02663
434.7,48.37717,-0.07354,384.26131
434.8,48.3996,0.06232,384.46133
434.9,48.375,0.06346,384.6
435,48.375,-0.062,384.6
435.1,48.29688,-0.03776,384.6
435.2,48.27675,-0.0124,384.6
435.3,48.25661,-0.082,384.63068
435.4,48.192,-0.06375,384.73069
435.5,48.20974,-0.08264,384.81535
435.6,48.13161,-0.1429,384.86535
435.7,48.1205,0.038,384.88465
435.8,48.09375,-0.01068,384.83465
435.9,48.02466,-0.0674,384.81535
436,48.02674,0.07017,384.86535
436.1,47.97533,0.07372,384.86929
436.2,47.95518,0.00582,384.76928
436.3,47.95313,-0.022,384.71536
436.4,47.87952,-0.01591,384.76536
436.5,47.8972,0.0405,384.8
436.6,47.83922,0.07707,384.8
436.7,47.79235,-0.06807,384.8
436.8,47.80796,-0.06372,384.8
436.9,47.75656,0.02051,384.8
437,47.72329,0.07539,384.8
437.1,47.72329,-0.01592,384.78463
437.2,47.67842,0.01019,384.73463
437.3,47.67188,0.02584,384.71538
437.4,47.69857,-0.0203,384.76538
437.5,47.67188,-0.04984,384.78462
437.6,47.68295,0.0085,384.73462
437.7,47.6074,0.02937,384.65384
437.8,47.70964,-0.01494,384.50384
437.9,47.65625,0.11367,384.35383
438,47.72981,0.04579,384.20382
438.1,47.79036,0.0545,384.00763
438.2,47.78581,0.20452,383.70763
438.3,47.86394,0.32558,383.37686
438.4,47.91536,0.2682,382.97694
438.5,48.02668,0.32639,382.57698
438.6,48.14975,0.33499,382.17692
438.7,48.28582,0.23859,381.79225
438.8,48.43557,0.36654,381.44218
438.9,48.58271,0.42991,381.15377
439,48.705,0.45876,381.00377
439.1,48.85752,0.47074,380.85377
439.2,49.03584,0.2155,380.70377
439.3,49.24541,0.16876,380.58459
439.4,49.38879,0.36989,380.53458
439.5,49.52941,0.36819,380.63877
439.6,49.71231,0.38989,381.08875
439.7,49.82169,0.29131,381.56957
439.8,49.92648,0.13407,382.1196
439.9,50.02483,0.22819,382.65417
440,50.02483,0.21383,383.15407
440.1,50.11758,0.06929,383.62323
440.2,50.14063,-0.03589,384.02333
440.3,50.10938,-0.05858,384.37713
440.4,50.1314,-0.16036,384.62714
440.5,50.09837,-0.17761,384.93888
440.6,50.07637,-0.122,385.3889
440.7,50.0845,-0.17081,385.93151
440.8,49.98438,-0.30036,386.68148
440.9,49.84085,-0.3359,387.2463
441,49.72048,-0.35812,387.39632
441.1,49.60475,-0.4461,387.62344
441.2,49.45661,-0.46611,388.02304
441.3,49.28589,-0.49215,388.43824
441.4,49.06714,-0.52,388.88869
441.5,48.91723,-0.57495,389.29268
441.6,48.69383,-0.68161,389.59271
441.7,48.45313,-0.59114,389.76909
441.8,48.28462,-0.53512,389.66908
441.9,48.02363,-0.63557,389.6
442,47.76269,-0.61064,389.6
442.1,47.5266,-0.66167,389.56909
442.2,47.32976,-0.62,389.46908
442.3,47.11733,-0.63833,389.36907
442.4,46.8454,-0.65548,389.26906
442.5,46.66255,-0.6,389.16906
442.6,46.4438,-0.56935,389.06907
442.7,46.19379,-0.5,389.01547
442.8,46.07041,-0.49387,389.06547
442.9,45.79851,-0.50446,389.08454
443,45.63754,-0.5416,389.03454
443.1,45.42188,-0.53058,389
443.2,45.19226,-0.56316,389
443.3,44.99281,-0.48612,388.98452
443.4,44.73438,-0.48772,388.93452
443.5,44.60469,-0.42329,388.83807
443.6,44.38125,-0.35228,388.63804
443.7,44.24531,-0.39225,388.45352
443.8,44.09375,-0.43229,388.30352
443.9,43.91404,-0.44163,388.10705
444,43.7734,-0.34529,387.80702
444.1,43.59844,-0.21587,387.6
444.2,43.46405,-0.202,387.6
444.3,43.34055,-0.22652,387.5845
444.4,43.20934,-0.31213,387.5345
444.5,43.10468,-0.3561,387.5155
444.6,42.99058,-0.31369,387.56551
444.7,42.85938,-0.34613,387.61551
444.8,42.75619,-0.2991,387.66551
444.9,42.64682,-0.24725,387.77757
445,42.42481,-0.3914,388.02756
445.1,42.24528,-0.33658,388.29307
445.2,42.0218,-0.49078,388.59312
445.3,41.86084,-0.60295,388.90868
445.4,41.6359,-0.65692,389.2587
445.5,41.47492,-0.53545,389.62423
445.6,41.20455,-0.5908,390.02419
445.7,40.97018,-0.87619,390.54834
445.8,40.57146,-0.98877,391.34842
445.9,40.24671,-0.99111,391.65151
446,39.83094,-0.77228,390.85147
446.1,39.56536,-0.60158,390.08252
446.2,39.29688,-0.56616,389.38256
446.3,39.16239,-0.53702,388.88447
446.4,38.92663,-0.47081,388.83446
446.5,38.77651,-0.49086,388.73783
446.6,38.58425,-0.38,388.53785
446.7,38.42935,-0.31305,388.12037
446.8,38.32813,-0.15584,387.22037
446.9,38.27515,-0.03758,386.49124
447,38.23913,0.15485,386.14121
447.1,38.23438,0.03342,385.82227
447.2,38.21875,-0.00968,385.57226
447.3,38.23438,0.03644,385.32225
447.4,38.23782,0.14519,385.07227
447.5,38.27517,0.27204,384.80673
447.6,38.30772,0.23033,384.50671
447.7,38.40625,0.25185,384.2689
447.8,38.41103,0.23184,384.1689
447.9,38.52041,0.21185,384.0378
448,38.52997,0.21651,383.8378
448.1,38.67061,0.31273,383.7311
448.2,38.70791,0.38106,383.83112
448.3,38.79688,0.22724,384.02453
448.4,38.82813,0.11481,384.42455
448.5,38.85458,-0.01892,384.98023
448.6,38.79208,-0.10817,385.88014
448.7,38.78852,-0.2752,386.96685
448.8,38.57332,-0.6447,388.467
448.9,38.31016,-0.81633,389.92039
449,37.92791,-1.13355,391.27039
449.1,37.50241,-1.3497,392.48026
449.2,36.9784,-1.56835,393.38026
449.3,36.33063,-1.53443,393.93771
449.4,35.74756,-1.41454,393.73768
449.5,35.20671,-1.46216,393.52208
449.6,34.67653,-1.46982,393.27211
449.7,34.11655,-1.37043,393.0377
449.8,33.62736,-1.18417,392.8377
449.9,33.11773,-1.2411,392.63769
450,32.61285,-1.32564,392.43767
450.1,32.15972,-1.28568,392.23765
450.2,31.69945,-1.27036,392.03763
450.3,31.26197,-1.27334,391.91559
450.4,30.77272,-1.23654,391.96558
450.5,30.24636,-1.27184,392.03115
450.6,29.73063,-1.30064,392.13116
450.7,29.2619,-1.31039,392.2
450.8,28.75925,-1.2718,392.2
450.9,28.19937,-1.56674,392.18442
451,27.63312,-1.54869,392.13442
451.1,27.08625,-1.69438,392.06883
451.2,26.47574,-1.56218,391.96882
451.3,25.94452,-1.61914,391.88441
451.4,25.3712,-1.70364,391.83441
451.5,24.71494,-1.66367,391.78441
451.6,24.17021,-1.66073,391.73441
451.7,23.61148,-1.67286,391.66883
451.8,22.97569,-1.63785,391.56882
451.9,22.42395,-1.76367,391.46881
452,21.84581,-1.80961,391.3688
452.1,21.24138,-1.85123,391.17517
452.2,20.69928,-1.50795,390.77521
452.3,20.23155,-1.32579,390.32844
452.4,19.84962,-1.23943,389.77838
452.5,19.54299,-1.22267,389.29076
452.6,19.22461,-1.21,388.94074
452.7,19.05273,-0.91667,388.60634
452.8,18.89648,-0.66128,388.30636
452.9,18.75593,-0.82268,388.02197
453,18.69823,-0.82291,387.77194
453.1,18.6875,-0.70617,387.53754
453.2,18.52635,-0.65188,387.33753
453.3,18.49511,-0.51852,387.2
453.4,18.3223,-0.56619,387.2
453.5,18.15625,-0.53678,387.15315
453.6,18.05178,-0.48338,387.00314
453.7,17.95803,-0.49972,386.79063
453.8,17.98348,-0.21536,386.44065
453.9,17.97856,0.10447,385.74697
454,18.02544,0.50749,384.29683
454.1,18.42504,1.10374,382.79981
454.2,18.93898,1.48017,381.19973
454.3,19.66932,1.67818,379.83419
454.4,20.27289,1.78499,378.98415
454.5,20.94473,2.02847,378.27489
454.6,21.76228,2.11,377.87491
454.7,22.52381,2.20271,377.45928
454.8,23.28948,2.36658,377.00926
454.9,24.09131,2.23909,376.55924
455,24.80513,2.1638,376.10924
455.1,25.61103,2.22421,375.70616
455.2,26.42931,2.32796,375.40614
455.3,27.21038,2.16526,375.07484
455.4,27.93019,2.12861,374.67484
455.5,28.70009,2.23184,374.19659
455.6,29.52329,2.35759,373.54653
455.7,30.29956,2.35475,372.94347
455.8,31.11137,2.36035,372.44352
455.9,31.9452,2.26237,371.97482
456,32.72154,2.30863,371.57476
456.1,33.52909,2.35,371.19039
456.2,34.27916,2.30051,370.8404
456.3,35.13281,2.20236,370.5062
456.4,35.93044,2.21766,370.20662
456.5,36.67965,2.17773,369.90691
456.6,37.44114,2.15616,369.60689
456.7,38.19042,2.20678,369.30688
456.8,39.00364,2.27772,369.00686
456.9,39.73233,2.23774,368.72238
457,40.47744,2.21614,368.47239
457.1,41.22177,2.23613,368.22241
457.2,41.9824,2.22542,367.97243
457.3,42.69041,2.14549,367.78449
457.4,43.4199,2.10845,367.73447
457.5,44.16993,2.14386,367.79321
457.6,44.8575,2.08078,368.09319
457.7,45.53996,1.90309,368.31553
457.8,46.1494,1.77662,368.36553
457.9,46.80625,1.832,368.43106
458,47.41005,1.78889,368.53108
458.1,47.96631,1.67357,368.72424
458.2,48.58696,1.60125,369.12384
458.3,49.1445,1.47083,369.70922
458.4,49.61942,1.332,370.71028
458.5,50.03012,1.24041,371.78873
458.6,50.41578,1.02784,373.03867
458.7,50.77567,1.00171,374.30389
458.8,51.06197,0.89394,375.60298
458.9,51.28125,0.6901,376.76309
459,51.43699,0.59287,377.61313
459.1,51.62954,0.46535,378.41673
459.2,51.73387,0.40833,379.11677
459.3,51.91684,0.38694,379.80146
459.4,51.99496,0.22103,380.45194
459.5,51.99495,0.12816,380.97775
459.6,52.11995,0.196,381.2276
459.7,52.20865,0.17759,381.431
459.8,52.20819,0.12427,381.53102
459.9,52.28078,0.12196,381.64655
460,52.3125,0.12721,381.79655
460.1,52.31757,0.03643,381.91552
460.2,52.37459,0.10209,381.96553
460.3,52.35891,0.11359,382.01554
460.4,52.40117,0.04891,382.06556
460.5,52.4375,0.14203,382.1
460.6,52.48946,0.12863,382.1
460.7,52.51563,-0.022,382.11555
460.8,52.57813,0.05156,382.16555
460.9,52.55741,0.13049,382.21555
461,52.59375,0.01159,382.26555
461.1,52.6875,0.20679,382.28444
461.2,52.59884,0.15293,382.23444
461.3,52.56724,-0.01796,382.21556
461.4,52.65625,0.17328,382.26558
461.5,52.67698,0.09588,382.31559
461.6,52.69771,0.11805,382.36559
461.7,52.7551,0.09033,382.4
461.8,52.73948,0.11181,382.4
461.9,52.75,0.09184,382.44674
462,52.84914,0.09596,382.59677
462.1,52.875,0.13045,382.7156
462.2,52.89575,0.08704,382.76558
462.3,52.92699,0.07902,382.83115
462.4,52.90087,0.19123,382.93114
462.5,52.90625,0.14832,382.98442
462.6,52.92724,0.16361,382.93441
462.7,52.948,0.11193,382.9
462.8,52.95313,0.0704,382.9
462.9,53.00538,0.08565,382.9
463,52.98438,0.10077,382.9
463.1,52.94799,0.196,382.9
463.2,53.02591,0.14702,382.9
463.3,53.04709,0.06825,382.88441
463.4,53.0625,0.11184,382.83443
463.5,53.10424,0.08819,382.8
463.6,53.15608,0.1194,382.8
463.7,53.11451,0.038,382.78438
463.8,53.18218,0.06282,382.73438
463.9,53.25515,0.11182,382.65313
464,53.26029,0.14702,382.50313
464.1,53.33843,0.22509,382.38438
464.2,53.40078,0.13801,382.33439
464.3,53.44782,0.12209,382.23756
464.4,53.49471,0.21326,382.03747
464.5,53.63532,0.24651,381.83742
464.6,53.63534,0.14221,381.63743
464.7,53.66671,0.18074,381.51564
464.8,53.84892,0.22979,381.56564
464.9,53.90107,0.23456,381.6
465,53.96358,0.26979,381.6
465.1,54.0366,0.23125,381.63127
465.2,54.08331,0.19463,381.73126
465.3,54.13526,0.22363,381.84689
465.4,54.1718,0.18979,381.99689
465.5,54.09368,0.04058,382.1
465.6,54.33859,-0.15641,382.1
465.7,54.41668,0.06561,382.19393
465.8,54.4427,0.05664,382.49391
465.9,54.47918,0.07943,382.7313
466,54.53125,0.05665,382.83131
466.1,54.57813,0.05464,383.0096
466.2,54.54689,-0.04822,383.35953
466.3,54.59376,-0.062,383.66253
466.4,54.6406,-0.062,383.86246
466.5,54.58855,-0.06818,384.04683
466.6,54.5938,-0.08822,384.19693
466.7,54.56772,-0.08341,384.36266
466.8,54.54688,-0.06067,384.56266
466.9,54.50517,-0.1082,384.73133
467,54.55211,-0.11578,384.83134
467.1,54.46357,-0.0772,384.9
467.2,54.45294,-0.04689,384.9
467.3,54.41149,-0.08342,384.91564
467.4,54.33863,-0.05443,384.96563
467.5,54.30718,-0.09437,384.98437
467.6,54.28637,-0.10954,384.93434
467.7,54.22399,-0.10061,384.91568
467.8,54.18224,-0.13577,384.96568
467.9,54.18738,-0.10959,385.04703
468,54.14589,-0.11316,385.19705
468.1,54.05738,-0.15717,385.26863
468.2,54.07286,-0.11446,385.16865
468.3,54.01037,-0.12339,385.11567
468.4,53.9324,-0.07577,385.16568
468.5,53.91134,-0.04959,385.2
468.6,53.90098,-0.04071,385.2
468.7,53.84375,-0.06336,385.16859
468.8,53.76563,-0.05943,385.06859
468.9,53.61446,-0.10472,385
469,53.77618,0.0647,385
469.1,53.88423,0.10754,384.93719
469.2,53.7548,-0.15343,384.73723
469.3,53.61464,-0.02062,384.56863
469.4,53.62524,-0.04329,384.46862
469.5,53.63556,-0.01442,384.36861
469.6,53.63559,-0.04824,384.2686
469.7,53.63055,-0.01851,384.1372
469.8,53.64063,0.05304,383.93719
469.9,53.70841,-0.00822,383.78429
470,53.67218,-0.022,383.73429
470.1,53.71399,-0.02822,383.74714
470.2,53.77594,-0.0108,383.89712
470.3,53.78655,-0.05383,383.9843
470.4,53.77065,-0.16527,383.93429
470.5,53.75531,0.11797,383.91572
470.6,53.75568,0.08424,383.96572
470.7,53.82284,0.06068,384.03145
470.8,53.80753,-0.02825,384.13145
470.9,53.83342,-0.00467,384.23145
471,53.83842,0.04052,384.33146
471.1,53.8022,-0.03578,384.44718
471.2,53.79725,-0.05947,384.59715
471.3,53.79155,-0.12956,384.68429
471.4,53.75495,-0.12699,384.63429
471.5,53.70879,-0.11361,384.6
471.6,53.64102,-0.00575,384.6
471.7,53.67225,-0.07086,384.58426
471.8,53.71918,-0.002,384.53426
471.9,53.7237,-0.002,384.5
472,53.69734,-0.02076,384.5
472.1,53.69285,-0.03708,384.51574
472.2,53.625,-0.01951,384.56573
472.3,53.61966,-0.102,384.61572
472.4,53.60402,-0.08325,384.66572
472.5,53.54152,-0.03578,384.7
472.6,53.48391,0.0218,384.7
472.7,53.48438,0.01828,384.7
472.8,53.41697,-0.14568,384.7
472.9,53.36473,-0.01577,384.66849
473,53.36425,-0.002,384.56848
473.1,53.3442,-0.002,384.45273
473.2,53.33838,-0.02703,384.30277
473.3,53.35938,-0.05086,384.2
473.4,53.3125,0.04299,384.2
473.5,53.32764,0.05449,384.1843
473.6,53.3184,0.00182,384.13425
473.7,53.32274,0.06681,384.05268
473.8,53.31844,0.03556,383.90268
473.9,53.35451,0.08681,383.7527
474,53.41703,0.0612,383.60274
474.1,53.40678,0.11924,383.38977
474.2,53.4213,0.05678,383.03972
474.3,53.47411,0.10985,382.73694
474.4,53.52155,0.16109,382.53688
474.5,53.64011,0.19726,382.33685
474.6,53.68211,0.19363,382.13688
474.7,53.76024,0.276,381.858
474.8,53.87922,0.25718,381.40794
474.9,53.96931,0.2285,381.02105
475,54.0679,0.21834,380.77103
475.1,54.27585,0.19226,380.53683
475.2,54.43209,0.34737,380.33686
475.3,54.52697,0.44724,380.13688
475.4,54.62563,0.52227,379.93688
475.5,54.8233,0.49852,379.75264
475.6,54.95791,0.39716,379.60259
475.7,55.15083,0.38103,379.56326
475.8,55.30096,0.36062,379.76325
475.9,55.47417,0.2398,379.99487
476,55.50612,0.31087,380.29492
476.1,55.66711,0.24974,380.65821
476.2,55.83357,0.19203,381.15809
476.3,55.8967,0.15228,381.57901
476.4,55.99929,0.18236,381.82905
476.5,56.08832,0.07124,382.11069
476.6,56.10466,0.22575,382.46066
476.7,56.10538,0.116,382.77903
476.8,56.20381,0.08521,383.02903
476.9,56.20857,0.018,383.31066
477,56.16095,0.018,383.66073
477.1,56.20241,0.00547,383.93164
477.2,56.2453,-0.022,384.03162
477.3,56.20375,-0.022,384.16329
477.4,56.16717,-0.01585,384.3635
477.5,56.15556,-0.05115,384.56371
477.6,56.15625,-0.11894,384.76393
477.7,56.125,-0.03429,384.88398
477.8,56.07653,-0.10504,384.83398
477.9,56.03672,-0.18358,384.81602
478,55.94766,-0.142,384.86602
478.1,55.90699,-0.11742,384.99618
478.2,55.99844,-0.12347,385.29618
478.3,55.97421,-0.24361,385.70834
478.4,55.84841,-0.21431,386.35818
478.5,55.74842,-0.242,386.88005
478.6,55.60315,-0.26047,387.13011
478.7,55.51563,-0.33891,387.41222
478.8,55.35389,-0.44602,387.76226
478.9,55.23361,-0.5,387.98396
479,55.05153,-0.47598,387.93396
479.1,54.95225,-0.422,387.80373
479.2,54.84375,-0.37274,387.50373
479.3,54.71799,-0.24971,387.09152
479.4,54.625,-0.20351,386.44184
479.5,54.60855,-0.14969,386
479.6,54.54595,-0.10351,386
479.7,54.44764,-0.0928,385.93581
479.8,54.43564,-0.13117,385.73583
479.9,54.40164,-0.03121,385.4877
480,54.33823,0.001,385.13763
480.1,54.17188,-0.10665,384.88394
480.2,54.25457,-0.16816,384.83394
480.3,54.13603,-0.13275,384.76789
480.4,54.08269,-0.01583,384.6679
480.5,54.10843,-0.02665,384.5679
480.6,54.13053,-0.06348,384.46788
480.7,54.08365,-0.022,384.38393
480.8,54.07357,-0.04052,384.33393
480.9,54.07813,-0.04499,384.31607
481,54.07913,-0.01139,384.36607
481.1,54.06901,-0.09114,384.36787
481.2,54.06148,-0.03435,384.26786
481.3,54.02669,-0.03118,384.18393
481.4,53.9889,0.01947,384.13394
481.5,53.97329,-0.02817,384.11606
481.6,54,-0.042,384.16607
481.7,53.9375,-0.0667,384.16785
481.8,53.93648,-0.07873,384.06785
481.9,53.86041,-0.00053,383.98392
482,53.89619,-0.03582,383.93392
482.1,53.92083,-0.022,383.86783
482.2,53.92851,-0.01582,383.76784
482.3,53.9375,0.02269,383.6196
482.4,53.97774,0.08976,383.36958
482.5,54.04688,0.13454,383.16783
482.6,54.0625,0.15744,383.06782
482.7,54.10381,0.12836,382.93564
482.8,54.19867,0.14981,382.73563
482.9,54.25558,0.136,382.6
483,54.31697,0.12424,382.6
483.1,54.42854,0.08563,382.6
483.2,54.48996,0.09451,382.6
483.3,54.53683,0.16364,382.6161
483.4,54.63176,0.17328,382.66609
483.5,54.68305,0.20037,382.71608
483.6,54.72549,0.10238,382.7661
483.7,54.77682,0.19351,382.81611
483.8,54.8694,0.22599,382.86611
483.9,54.90181,0.116,382.9
484,54.89181,0.13476,382.9
484.1,55.01003,0.18851,382.88389
484.2,55.02122,0.18473,382.83389
484.3,55.07252,0.09786,382.81611
484.4,55.14944,0.03923,382.86611
484.5,55.22436,0.04744,382.88389
484.6,55.24874,0.13159,382.83389
484.7,55.37061,0.12118,382.76777
484.8,55.40625,0.16656,382.66775
484.9,55.38188,0.08867,382.6
485,55.47312,0.14348,382.6
485.1,55.5625,0.12853,382.6
485.2,55.61065,0.17479,382.6
485.3,55.70437,0.216,382.53552
485.4,55.76998,0.216,382.33557
485.5,55.82378,0.216,382.21611
485.6,55.83636,0.22853,382.26613
485.7,55.93316,0.2372,382.28386
485.8,56.03125,0.20853,382.23387
485.9,56.12631,0.1984,382.16774
486,56.14063,0.15362,382.06773
486.1,56.21875,0.2799,382
486.2,56.3637,0.27005,382
486.3,56.41324,0.12518,381.91926
486.4,56.52828,0.24701,381.6693
486.5,56.56949,0.14618,381.46772
486.6,56.6945,0.24973,381.3677
486.7,56.77129,0.24228,381.21922
486.8,56.9375,0.26855,380.96922
486.9,57.03691,0.25833,380.73539
487,57.125,0.22622,380.53541
487.1,57.23009,0.37995,380.35156
487.2,57.4588,0.43833,380.20155
487.3,57.54549,0.37484,380.1
487.4,57.63211,0.43484,380.1
487.5,57.78553,0.39436,380.13228
487.6,57.91194,0.20972,380.2323
487.7,58.03834,0.23997,380.33231
487.8,58.179,0.32972,380.43231
487.9,58.26138,0.34742,380.56463
488,58.39209,0.416,380.76465
488.1,58.49576,0.34687,380.91617
488.2,58.51563,0.20229,380.96617
488.3,58.64484,0.172,381.04851
488.4,58.77703,0.12629,381.19853
488.5,58.80406,0.20456,381.36472
